"title","description","label"
"Scientists find 'strongest evidence yet' of life on distant planet","Scientists find new but tentative evidence that a faraway world orbiting another star may be home to life.","1"
"The truth about life on other planets - and what it means for humans","Could discoveries of alien life ever change the human psyche in how we view ourselves and each other?","1"
"Tech Decoded","Get timely, trusted tech news from BBC correspondents around the world, every Monday and Friday.","1"
"Why autism remains a genetic mystery","Genetic factors are thought to play a major role in the development of autism – but for decades what they are has proven elusive. Now scientists are starting to uncover clues.","1"
"The young vicar with millions of views on TikTok","Reverend Pippa White is the curate for Fauls, Tilstock, and Whitchurch - and has become a rising star on video-sharing app TikTok.","1"
"Discord's face scanning age checks 'start of a bigger shift'","The social platform is testing age checks using facial scanning for access to sensitive content.","1"
"Why you might be younger than you think you are","There is a difference between our chronological and biological age, which we have the power to control.","1"
"The perils of Trump's chips strategy: The US will struggle to take on Asia","America is trying to create a chip industry through isolation and protectionism, when what allowed it to emerge in Asia is the opposite: collaboration.","1"
"A powerful way to improve your fitness","With smartphones tougher than ever, a new wave of phone minimalists say cases are for cowards. I joined the case-free cult, called the experts and braced for the sound of broken glass.","1"
"Why drinking coffee can benefit your health","Scientists are racing to find out what causes this progressive disease. And they're starting to make some headway.","1"
"How to change your personality traits with intention","Video games are the biggest form of entertainment in the world, but sometimes they bleed into people's lives offline in surprising and disturbing ways.","1"
"How you can think yourself well","The compound has been linked to improved cognitive performance and reduced anxiety – but are you getting enough of it?","1"
"Why being a 'loner' could be good for you","From an Australian frog that swallowed its own eggs to woolly mammoths, scientists could soon bring back long-lost species from the dead.","1"
"An eating habit that helps you maintain a healthy weight","The sit-to-stand test takes just 30 seconds to complete, but its results can provide profound insights into your health.","1"
"A simple practice that is good for stress","The comedian won best supporting actor for her role as Finlay in Still Wakes the Deep.","1"
"How immersion in nature can make you feel calmer","Black holes are one of the mysteries of the universe where all the laws of nature as we know them stop working.","1"
"The benefits of being a 'weekend warrior'","The esports course serves as a starting point for learners who want a career in the sector.","1"
"Why friendships are key to living longer","BBC Click visits a UK research team working on a solution to remove toxic chemicals known as PFAS from water.","1"
"How to reset your brain with your breath","They are the focus of many diplomatic skirmishes, but how are rare earth minerals used and where are they found?","1"
"The vegetable that can protect you from cancer","BBC Click attends the Mobile World Congress to test the latest tech products and trends.","1"
"A simple and tasty way to reduce wrinkles and keep your skin healthy","BBC Click visits a Madrid hospital to see patients treated with an ultrasound for tremors.","1"
"Why improving your nutrition will help you think better","We find out what we gained when Homo sapiens mated with Homo neanderthalensis many thousands of years ago.","1"
"The surprising benefits of self-soothing touch","BBC Click speaks to the visual effects team behind the latest Disney blockbuster.","1"
"How your gut microbes shape your health","From science-fiction to the real world, flying cars are here - but could the concept actually take off?","1"
"Is cold water swimming good for you?","BBC Click meets TikTok creator Peggy Xu who gained millions of views sharing milk videos.","1"
"Why women 'need less exercise than men'","The 'clinic' in a box' is a remote doctor's appointment that can take place anywhere.","1"
"How 'tapping therapy' can help calm your mind","The British naturalist embarked on an extraordinary journey, did hundreds of experiments, and wrote for 20 years.","1"
"Can this mineral help reduce anxiety?","BBC Click's Paul Carter visits the world's first fully AI-powered hotel in Las Vegas.","1"
"The quick test for the risk of early death","The actor, who played the Facebook boss, says he is making vulnerable people ""feel threatened"".","1"
"Why you might not need a phone case anymore","BBC Click explores an Arctic vault that stores digital artefacts from across the globe.","1"
"The mystery of what causes ALS","The BBC tests out the tool to see what type of answers it can and will give.","1"
"When video games spill into reality","The Chinese-based large language model is disrupting the AI industry and the stock market.","1"
"Choline: The nutrient that's vital for our brains","He made the gesture while thanking supporters for contributing to Trump's victory.","1"
"Can the mammoth be resurrected?","BBC Click visits CES 2025 to find out about the latest health tech, from medical tools to well-being devices.","1"
"The simple test revealing how 'well' you're ageing","Engineer Cristina Balan raised a safety concern about a design flaw which could affect the cars' braking in 2014.","1"
"How Karen Dunbar helped craft her Bafta-winning video game character","Researchers studying planet K2-18b's atmosphere have detected signs of molecules which on Earth are only produced by simple organisms.","1"
"What's inside a black hole?","Businesses around the world say they are unable to get back into their Facebook and Instagram pages.","1"
"Pupils studying esports in Scottish Borders school","The YouTuber promised disappointed fans, who had spent $1,000 on 'The MrBeast Experience', a visit to his studio.","1"
"Using bubbles to remove forever chemicals from our water","The chip manufacturing giant will require licences to export its H20 AI chip to China.","1"
"The open secret about rare earth minerals","Downdetector, which tracks platforms, showed more than 20,000 people reported Spotify was not working on Wednesday.","1"
"Can smart phones get smarter?","Sir Richard Branson has responded to Radio 1's Greg James suggestion for a British 'Air Force Hun' mission.","1"
"Can technology help reduce Parkinson’s symptoms?","Tiny cash-based Pacific nation gets electronic banking for the first time.","1"
"How sex with Neanderthals changed us forever","No description provided.","1"
"The Lion King: How Mufasa was brought to life","No description provided.","1"
"A real-life flying car takes to the skies","No description provided.","1"
"How the TikTok ban affected US influencers","No description provided.","1"
"A 'clinic in a box' that can check whether you're healthy","No description provided.","1"
"How did Darwin come up with his theory of evolution?","No description provided.","1"
"Is this the world's first AI-powered hotel?","No description provided.","1"
"Jesse Eisenberg scorns association with Zuckerberg","No description provided.","1"
"Could an Arctic underground vault save our data?","No description provided.","1"
"Watch DeepSeek AI bot respond to question about China","No description provided.","1"
"BBC's AI correspondent explains why DeepSeek has caused shockwaves","No description provided.","1"
"Elon Musk's gesture at Trump rally draws scrutiny","No description provided.","1"
"How technology can monitor and improve our health","No description provided.","1"
"Tesla whistleblower wins latest legal battle in fight against Musk","No description provided.","1"
"Could this faraway world be home to life?","No description provided.","1"
"Firms say Meta not helping them to recover hacked accounts","No description provided.","1"
"MrBeast apologises after 'horrible' Las Vegas event","No description provided.","1"
"Nvidia shares plunge amid $5.5bn hit over export rules to China","No description provided.","1"
"Spotify 'back and functioning normally' after global outage","No description provided.","1"
"Air Force Huns? Branson responds to Greg James appeal for space mission","No description provided.","1"
"Tuvalu unveils first cash machines in 'momentous' ceremony","No description provided.","1"
